name, EFF, INC, REV, DEV, LM_t, LM_t|bne, LM_bne
bid, 0.9848135731123386, 0.06127949353231434, 1.0107361539693271, 0.057168218010127295, 0.5001374, 0.3744402, 0.246576
quadratic, 0.987848331137242, 0.049563653048523316, 1.0196216877497746, 0.04513317691377604, 0.500016, 0.3850316, 0.257838
proxy, 0.9851295946127854, 0.08848609346658139, 0.9496340098151735, 0.07045860397366546, 0.2365008, 0.1819412, 0.1577492
shapley, 0.99011408472412, 0.051125975751042795, 1.000250287184006, 0.04937303195253782, 0.3244532, 0.2211076, 0.1911493
svcg, 0.9888094800867799, 0.061322180120266745, 0.9854109797435099, 0.055021801994532625, 0.2893439333301209, 0.1984001333363092, 0.17822633333492313
bid, 0.987848331137242, 0.049563653048523316, 1.0196216877497746, 0.04513317691377604, 0.500016, 0.3850316, 0.257838
quadratic, 0.9899729634797569, 0.085895751877608, 0.9828308554016959, 0.057133290718973766, 0.500145, 0.3903078, 0.267943
proxy, 0.9901288859113422, 0.06691476283291987, 0.9821464136089724, 0.050712243620276314, 0.246708, 0.2014152, 0.1986488
shapley, 0.9883217280684065, 0.06244793222265792, 0.9859698775541245, 0.05161667320374457, 0.3314008, 0.2045347, 0.2115093
svcg, 0.9883524296596232, 0.06631639492398998, 0.9815004745875724, 0.053040993344108986, 0.2974787999963667, 0.1961605333355422, 0.21261346666779513
bid, 0.9899729634797569, 0.085895751877608, 0.9828308554016959, 0.057133290718973766, 0.500145, 0.3903078, 0.267943
